"Built-in form","Built-in form"
Widget,Widget
Iframe/Redirect,Iframe/Redirect
Production,Production
Sandbox,Sandbox
LiqPay,LiqPay
"General Settings","General Settings"
"Enabled this Solution","Enabled this Solution"
Title,Title
Mode,Mode
"Connection Type","Connection Type"
"Account Settings","Account Settings"
"Sandbox Credentials","Sandbox Credentials"
"Public Key","Public Key"
"Private Key","Private Key"
"Production Credentials","Production Credentials"
"Advanced Settings","Advanced Settings"
"Order Prefix","Order Prefix"
"Order Suffix","Order Suffix"
