"Built-in form","Вбудований у форму"
Widget,"Віджет"
Iframe/Redirect,"Перенаправлення на сервіс"
Production,"Робочий"
Sandbox,"Тестовий"
LiqPay,LiqPay
"General Settings","Загальні налаштування"
"Enabled this Solution","Ввімкнути рішення"
Title,"Заголовок"
Mode,"Режим"
"Connection Type","Вигляд метода на сторінці"
"Account Settings","Налаштування аккаунту"
"Sandbox Credentials","Тестові дані"
"Public Key","Публічний ключ"
"Private Key","Приватний ключ"
"Production Credentials","Рабочі дані"
"Advanced Settings","Розширені налаштування"
"Order Prefix","Префікс замовлення"
"Order Suffix","Суфікс замовлення"
